ID,Osc_17,Fem_04,ID,Fem_03,Tib_02,ID,Tib_12,Fib_05,ID,Sca_03,Hum_07,ID,Sca_04,Hum_07,ID,Hum_06,Uln_11,ID,Hum_06,Rad_04
1999-135-I-16   ,61.36,51.56,GLO1/177B       ,85,81,GLO7/026B       ,35.4,26.8,1999-135-I-19   ,38.77,48.7,GLO7/026B       ,30.2,42.3,GLO1/340B       ,48.4,26.5,HTH1051         ,51.18,27.91
1999-135-I-17   ,55.92,44.9,GLO1/340B       ,88,81,GLO7/031B       ,32.5,26.3,2001-006        ,38.2,51.5,GLO7/031B       ,28,42.7,GLO1/353B       ,46.9,27.2,HTH1231         ,43.95,23.12
1999-135-I-18   ,61.39,51.4,GLO1/353B       ,82,80,GLO9/018B       ,38.6,27.5,2002-074        ,37.9,46.5,GLO9/018B       ,29.9,44.7,GLO7/026B       ,45.3,25.1,HTH2069         ,49.6,25.57
1999-135-I-19   ,59.54,49.3,GLO7/026B       ,84,79,HTH1051         ,36.72,27.16,GLO1/177B       ,40.1,49.6,HTH1051         ,30.88,46.83,GLO7/031B       ,43.9,23.9,HTH2206         ,45.49,24.45
2000-116        ,59.6,49,GLO7/031B       ,86,81,HTH1231         ,27.57,24,GLO1/340B       ,37.1,48.9,HTH1231         ,26.98,41.74,GLO9/018B       ,46.5,24.3,HTH2274         ,48.34,26.33
2001-006        ,59.7,48.3,GLO9/018B       ,90,81,HTH2069         ,37.17,27.54,GLO1/353B       ,39,49.9,HTH2069         ,31.28,47.1,HTH1051         ,51.18,26.9,HTH2983         ,48.71,25.98
2002-074        ,57.8,47.1,HTH1051         ,93,86,HTH2206         ,35.29,24.5,GLO7/026B       ,41.3,48.4,HTH2206         ,29.49,45.14,HTH1231         ,43.95,23.68,HTH3760         ,38.51,19.5
CR12/179B       ,58.9,50,HTH1231         ,79,77,HTH2274         ,34.04,27.61,GLO7/031B       ,35.4,47.8,HTH2274         ,32.81,47.7,HTH2069         ,49.6,28.55,OLOVO 1/2/1     ,49.2,26.4
GLO1/177B       ,59.7,48.3,HTH2069         ,88,79,RVO2/089B       ,30.8,26.6,GLO9/018B       ,39,50.7,HTH2983         ,32.04,47.05,HTH2206         ,45.49,25.59,OLOVO 1/3/1     ,47.3,24
GLO1/340B       ,58.5,50.7,HTH2206         ,82,78,RVO2/117B       ,36.9,27,HTH1051         ,42.87,51.84,HTH3760         ,22.41,39.9,HTH2274         ,48.34,28.28,RVO2/068B       ,48.2,26.5
GLO1/353B       ,59.4,49.5,HTH2274         ,89,84,RVO2/142B       ,29.9,28,HTH1231         ,35.39,45.84,OLOVO 1/2/1     ,34.2,47.1,HTH2983         ,48.71,25.66,RVO2/089B       ,47.8,25.3
GLO7/026B       ,60.6,49,HTH2983         ,86,81,RVO2/173B       ,35.5,29.6,HTH2069         ,39.96,51.93,OLOVO 1/3/1     ,27.3,42.3,HTH3760         ,38.51,19.87,RVO2/117B       ,51.3,25.2
GLO7/031B       ,57.1,48.3,HTH3760         ,81,72,RVO2/180B       ,35,27,HTH2206         ,40.27,52.08,RVO2/068B       ,33,49.2,OLOVO 1/2/1     ,49.2,27.6,RVO2/142B       ,47.6,25.1
GLO9/018B       ,60.7,50.8,OLOVO 1/3/1     ,86,81,RVO2/210B       ,34.3,29.2,HTH2274         ,43.61,51.66,RVO2/117B       ,32.2,46.1,OLOVO 1/3/1     ,47.3,25.5,RVO2/173B       ,48,23.2
HTH1051         ,64.61,55.14,RVO2/089B       ,84,81,RVO2/220B       ,30.5,25.3,HTH2983         ,39.61,50.45,RVO2/142B       ,29.9,46.1,RVO2/068B       ,48.2,32.9,RVO2/180B       ,44.1,23.4
HTH1231         ,58.71,46.97,RVO2/117B       ,88.5,84,RVO2/245B       ,33.9,28.7,HTH3760         ,31.85,43.39,RVO2/173B       ,26,41.2,RVO2/089B       ,47.8,25.2,RVO2/186B       ,45.6,22.9
HTH2069         ,62.26,50.54,RVO2/142B       ,91,83,RVO2/262B       ,31,27.4,OLOVO 1/2/1     ,42.3,50.2,RVO2/180B       ,29.4,45.2,RVO2/117B       ,51.3,28,RVO2/206B       ,45.5,24
HTH2206         ,60.37,50.01,RVO2/173B       ,85,80,RVO2/276B       ,27.3,24.5,OLOVO 1/3/1     ,38.8,48,RVO2/186B       ,31.2,48.2,RVO2/142B       ,47.6,25.5,RVO2/210B       ,46.3,25.5
HTH2274         ,66.21,53.18,RVO2/180B       ,86,81,RVO2/282B       ,33.5,27.8,RVO2/068B       ,42.5,54.4,RVO2/206B       ,29.3,44.5,RVO2/173B       ,48,24.3,RVO2/220B       ,44,23.4
HTH2983         ,66.41,52.75,RVO2/186B       ,86,81,RVO2/297B       ,31,28.6,RVO2/117B       ,39.3,51,RVO2/210B       ,29.7,45.5,RVO2/180B       ,44.1,24.1,RVO2/245B       ,47,22.1
HTH3760         ,56.66,45.96,RVO2/210B       ,88,82,RVO2/310B       ,30,27,RVO2/142B       ,39,53.2,RVO2/220B       ,25.9,45.7,RVO2/186B       ,45.6,25.5,RVO2/262B       ,45.1,21.5
OLOVO 1/3/1     ,59.4,47.5,RVO2/220B       ,88,81,RVO2/417D       ,30,29.5,RVO2/173B       ,38.4,45.2,RVO2/245B       ,28.1,45.2,RVO2/206B       ,45.5,25.8,RVO2/276B       ,41.5,22.2
RVO2/068B       ,66.6,53.4,RVO2/245B       ,89,85,RVO2/427B       ,31.4,24.1,RVO2/180B       ,36.7,49.1,RVO2/276B       ,26.8,42.6,RVO2/210B       ,46.3,26.2,RVO2/282B       ,47.4,22
RVO2/089B       ,59.8,51,RVO2/262B       ,82,79.5,RVO2/437B       ,35.3,28.2,RVO2/186B       ,38.7,48.9,RVO2/282B       ,27.8,43.8,RVO2/220B       ,44,25.8,RVO2/297B       ,48.3,26.2
RVO2/117B       ,61.2,52,RVO2/276B       ,76,71,RVO2/442B       ,31.7,30.7,RVO2/206B       ,39,46.4,RVO2/297B       ,27.7,41.1,RVO2/245B       ,47,28.4,RVO2/310B       ,44.4,24.4
RVO2/142B       ,63.8,54.2,RVO2/282B       ,89,83,RVO2/49B        ,33.2,27.3,RVO2/210B       ,36,51,RVO2/310B       ,29.1,42.4,RVO2/262B       ,45.1,25.1,RVO2/417D       ,48.6,25.9
RVO2/173B       ,61.2,48.6,RVO2/297B       ,84,81,RVO2/576B       ,33.3,27.1,RVO2/220B       ,37,52,RVO2/417D       ,30.1,45.4,RVO2/276B       ,41.5,23.8,RVO2/442B       ,45.2,24.6
RVO2/180B       ,60.2,51.5,RVO2/310B       ,86,80,UT13-88,31.8,29.8,RVO2/245B       ,36.3,50.8,RVO2/427B       ,28.5,42.1,RVO2/282B       ,47.4,23,RVO2/49B        ,47.2,25.2
RVO2/186B       ,62.2,51.2,RVO2/417D       ,88,81,UT13-91,31.5,27.9,RVO2/262B       ,34.7,47.3,RVO2/437B       ,29.3,43.8,RVO2/297B       ,48.3,24.7,RVO2/575B       ,48.7,24.1
RVO2/206B       ,56.8,45.5,RVO2/437B       ,89,82,UT16-91,28.1,23.7,RVO2/276B       ,33.2,47.4,RVO2/442B       ,29.3,45.4,RVO2/310B       ,44.4,26.5,RVO2/576B       ,49.5,25.4
RVO2/210B       ,63,53.5,RVO2/442B       ,87,81,UT1-87,32.18,29.97,RVO2/282B       ,35.8,48,RVO2/575B       ,32.6,45.7,RVO2/417D       ,48.6,30.7,UT10-88,43.7,23.46
RVO2/220B       ,58.5,50.6,RVO2/49B        ,85,81,UT27-93,34.3,31.5,RVO2/297B       ,38.1,48,RVO2/576B       ,31.2,45.6,RVO2/437B       ,48.2,27.1,UT13-88,51,27
RVO2/245B       ,64.8,53.6,RVO2/575B       ,89,84,UT3-87,32.1,26.3,RVO2/310B       ,36,48.5,UT10-88,25.37,44.6,RVO2/442B       ,45.2,24.1,UT13-91,47.1,23.9
RVO2/262B       ,57.9,48,RVO2/576B       ,82,78,UT3-90          ,32.9,25.4,RVO2/417D       ,34.5,52.8,UT12-88,26.25,44.9,RVO2/49B        ,47.2,26,UT16-91,42.7,21
RVO2/276B       ,54.3,45,UT10-88,89,81,UT7-89,30.99,29.1,RVO2/427B       ,37.2,47,UT13-88,28.5,49.6,RVO2/575B       ,48.7,28.8,UT1-87,47.92,25.11
RVO2/282B       ,60.6,49.3,UT10-89         ,83,78,UT8-87,38.3,27.6,RVO2/437B       ,38.6,47.2,UT13-91,30.3,46.5,RVO2/576B       ,49.5,28.6,UT27-93,50.2,26.9
RVO2/297B       ,58.7,48.6,UT10-91         ,90,83,ZJO6/155B       ,31.5,26.7,RVO2/442B       ,38.2,50.6,UT16-91,24.6,42.8,UT10-88,43.7,21.7,UT3-87,49.3,26.8
RVO2/310B       ,55.6,47.2,UT11-87         ,82,81,ZJO6/224B       ,37.2,32.8,RVO2/49B        ,40.7,50.8,UT1-87,28.17,45.46,UT13-88,51,26.8,UT3-90          ,45.6,22.7
RVO2/417D       ,61,51.1,UT11-89         ,85,80,ZJO6/258B       ,33,27.2,RVO2/575B       ,41.1,49,UT27-93,29.1,46.3,UT13-91,47.1,24,UT7-89,47.3,24.16
RVO2/427B       ,57.3,47.1,UT11-93         ,82,73,ZJO6/437B       ,35.8,29.1,RVO2/576B       ,38.6,52,UT3-87,28.4,46.5,UT16-91,42.7,22.1,UT8-87,51.3,25.8
