id,Side,Element,Cla_01,Cla_04,Cla_05,Cla_06,Cla_07,Cla_08,Cla_09,Sca_01,Sca_02,Sca_03,Sca_04,Sca_05,Hum_01,Hum_02,Hum_03,Hum_04,Hum_05,Hum_06,Hum_07,Hum_08,Hum_09,Rad_01,Rad_02,Rad_03,Rad_04,Rad_05,Rad_06,Rad_07,Rad_08,Rad_09,Rad_10,Uln_01,Uln_02,Uln_03,Uln_04,Uln_05,Uln_06,Uln_07,Uln_08,Uln_09,Uln_10,Uln_11,Osc_01,Osc_02,Osc_03,Osc_04,Osc_05,Osc_06,Osc_07,Osc_08,Osc_09,Osc_10,Osc_11,Osc_12,Osc_13,Osc_14,Osc_15,Osc_16,Osc_17,Fem_01,Fem_02,Fem_03,Fem_04,Fem_05,Fem_06,Fem_07,Fem_08,Fem_09,Fem_10,Fem_11,Fem_12,Fem_13,Fem_14,Fem_15,Fem_16,Fem_17,Fem_18,Fem_19,Tib_01,Tib_02,Tib_03,Tib_04,Tib_05,Tib_06,Tib_07,Tib_08,Tib_09,Tib_10,Tib_11,Tib_12,Tib_13,Tib_14,Tib_15,Tib_16,Fib_01,Fib_02,Fib_03,Fib_04,Fib_05
82,Right,Radius,,,,,,,,,,,,,,,,,,,,,,255,,,23.3,13,18,19.6,17.9,11.8,35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Right,Radius,,,,,,,,,,,,,,,,,,,,,,231,,,22,10,14,16.8,17.6,10,33.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Right,Radius,,,,,,,,,,,,,,,,,,,,,,200,,,23.4,13,16,17.8,17,10.2,33.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Right,Radius,,,,,,,,,,,,,,,,,,,,,,340,,,23.3,13,18,19.6,17.9,11.8,35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Right,Radius,,,,,,,,,,,,,,,,,,,,,,350,,,22,10,14,16.8,17.6,10,33.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Left,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.5,,,15.5,20.8,287.5,,,13.9,12.1,28.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Left,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,,,10.4,13.6,197,,,8.6,8,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Left,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,,,12.7,16.6,188,,,10,9.7,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Left,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,,,13,17,239,,,9.3,9.4,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Left,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,,,12,17,228,,,12.6,10.3,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Left,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247,,,15,17,216,,,12,10.8,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Left,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,,,12,15,216,,,12.1,10.9,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Left,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,,,12,14,227,,,11.6,10.3,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Left,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,,,14,20,241,,,13,10.9,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Left,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,,,14,18,240,,,13,10.8,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Left,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269,,,13,18,240,,,11.5,10.4,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Left,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,,,15,19,236,,,12.2,11,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Left,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,,,14,18,245,,,11.4,10.3,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Left,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,13,15,226,,,13.8,12.5,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Left,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247,,,14,17,217,,,13.9,13,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Left,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,,,14,17,233,,,12.5,11,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Left,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,,,12,17,238,,,11.7,11.7,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Left,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,,,10,16,227,,,12,11.5,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Left,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,,,11,14,211,,,10.5,10.2,22.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Left,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,,,11,12,207,,,11.5,10.4,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Right,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,,,15.3,19.8,288,,,13.7,11.6,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Right,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,,10.4,13.5,201,,,9.2,7.9,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Right,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.5,,,11.6,16.7,192,,,10.2,9.2,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Right,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277,,,13,16,240,,,9.3,9.7,22.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Right,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,,,12,16,225,,,12.4,10.1,28.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Right,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,16,17,217,,,11.8,11.1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Right,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249,,,12,17,218,,,12,10.9,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Right,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247,,,12,16,225,,,11.4,10.5,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Right,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274,,,21,15,239,,,11.9,10.7,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Right,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,,,18,16,234,,,12.5,11.7,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Right,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273,,,18,13,242,,,11.8,10.8,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Right,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269,,,15,19,236,,,13,10.8,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Right,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277,,,15,19,238,,,11.4,10.7,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Right,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,,,14,14,225,,,12.6,12.2,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Right,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,,,15,16,220,,,14.8,12.8,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Right,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,,,16,13,234,,,12.6,11.3,27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Right,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,,,13,18,238,,,12.1,11.9,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Right,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,,,11,17,227,,,12.2,11.4,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Right,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,,,10,14,208,,,10.8,10.2,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Right,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,,,10,11,210,,,11.3,11.1,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Right,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,10,14,208,,,10.8,10.2,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Right,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,,,10,11,210,,,11.3,11.1,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Left,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489,483,92,49,30,28,30,,,,,,,25.3,28.4,34.2,32.5,,,,,,,,,,,,,,,,,,,,,,,
130,Left,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466,463,89,51,34,30,33,,,,,,,31.1,32.5,40.5,33.2,,,,,,,,,,,,,,,,,,,,,,,
131,Left,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445,441,82,49,33,30,31,,,,,,,27.9,25.7,36.6,29.8,,,,,,,,,,,,,,,,,,,,,,,
132,Left,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427,425,76,41,29,26,31,,,,,,,25,25.8,36.2,28.8,,,,,,,,,,,,,,,,,,,,,,,
133,Left,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455,452,81,46,33,33,30,,,,,,,27.7,24.9,36.8,32.8,,,,,,,,,,,,,,,,,,,,,,,
134,Left,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,449,82,43,33,31,29,,,,,,,23.58,22.66,27.55,29.64,,,,,,,,,,,,,,,,,,,,,,,
135,Left,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469,466,89,49,31,30,33,,,,,,,20.3,21.04,26.33,24.98,,,,,,,,,,,,,,,,,,,,,,,
136,Left,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489,484,82,49,35,28,30,,,,,,,23.12,20.4,28.29,29.18,,,,,,,,,,,,,,,,,,,,,,,
137,Left,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423,419,83,46,25,30,27,,,,,,,19.75,21.21,25.7,23.62,,,,,,,,,,,,,,,,,,,,,,,
138,Left,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425,420,81,46,35,30,35,,,,,,,21.25,21.43,26.33,23.92,,,,,,,,,,,,,,,,,,,,,,,
139,Left,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474,471,87,50,33,29,30,,,,,,,28.5,30.7,34.7,29.1,,,,,,,,,,,,,,,,,,,,,,,
140,Left,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477,472,89,51,33,30,32,,,,,,,23.5,24.2,29.1,28,,,,,,,,,,,,,,,,,,,,,,,
141,Left,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458,457,78,46,32,28,28,,,,,,,22.3,25,29.4,26.3,,,,,,,,,,,,,,,,,,,,,,,
142,Left,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415,412,72,41,30,22,25,,,,,,,22.3,23.8,29.6,27.3,,,,,,,,,,,,,,,,,,,,,,,
143,Left,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444,441,79,47,35,29,31,,,,,,,19.6,21,26,22.8,,,,,,,,,,,,,,,,,,,,,,,
144,Left,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432,426,83,48,29,28,27,,,,,,,27.1,27.6,33,31.6,,,,,,,,,,,,,,,,,,,,,,,
145,Left,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425,421,73,39,26,29,28,,,,,,,22.4,24.4,31.8,29.5,,,,,,,,,,,,,,,,,,,,,,,
146,Left,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412,410,70,40,25,23,24,,,,,,,26.5,26.4,38.6,30.3,,,,,,,,,,,,,,,,,,,,,,,
147,Left,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436,431,78,43,33,25,30,,,,,,,24.4,24.8,31.7,29.8,,,,,,,,,,,,,,,,,,,,,,,
148,Left,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464,461,77,45,25,27,30,,,,,,,23.6,24.4,32.8,25.5,,,,,,,,,,,,,,,,,,,,,,,
149,Right,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487,480,91,49,30,28,31,,,,,,,27.7,28.3,35.1,33.4,,,,,,,,,,,,,,,,,,,,,,,
150,Right,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466,462,88,50,36,30,33,,,,,,,32.3,32.8,38.1,33.2,,,,,,,,,,,,,,,,,,,,,,,
151,Right,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,447,83,48,33,30,31,,,,,,,27.2,25.5,35.7,30.3,,,,,,,,,,,,,,,,,,,,,,,
152,Right,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431,426,76,42,30,26,30,,,,,,,25.9,26.1,34.4,30.3,,,,,,,,,,,,,,,,,,,,,,,
153,Right,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451,448,81,47,35,30,30,,,,,,,28.3,25.2,34.9,35.3,,,,,,,,,,,,,,,,,,,,,,,
154,Right,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459,457,83,44,35,25,,,,,,,,23.46,22.47,27.55,28.96,,,,,,,,,,,,,,,,,,,,,,,
155,Right,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470,467,89,50,31,30,,,,,,,,20.28,21.14,25.6,25.01,,,,,,,,,,,,,,,,,,,,,,,
156,Right,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486,481,81,49,35,27,,,,,,,,23.06,19.49,26.61,28.17,,,,,,,,,,,,,,,,,,,,,,,
157,Right,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423,419,82,45,,30,27,,,,,,,19.7,20.37,25.53,24.93,,,,,,,,,,,,,,,,,,,,,,,
158,Right,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,416,80,47,,30,35,,,,,,,21.1,21.1,25.21,24.25,,,,,,,,,,,,,,,,,,,,,,,
159,Right,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470,468,88,51,,28,29,,,,,,,29.4,29.4,33.1,32.1,,,,,,,,,,,,,,,,,,,,,,,
160,Right,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476,472,89,52,,30,31,,,,,,,23.9,25.7,28.3,27.6,,,,,,,,,,,,,,,,,,,,,,,
161,Right,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465,463,,46,,25,26,,,,,,,21.9,24.2,30.6,26.7,,,,,,,,,,,,,,,,,,,,,,,
162,Right,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410,,40,,23,25,,,,,,,21.9,22.4,28.1,27.1,,,,,,,,,,,,,,,,,,,,,,,
163,Right,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437,,47,32,30,32,,,,,,,18.5,19.5,25.2,23.2,,,,,,,,,,,,,,,,,,,,,,,
164,Right,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425,,50,31,26,26,,,,,,,27.5,28.9,33.6,33,,,,,,,,,,,,,,,,,,,,,,,
165,Right,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,72,39,28,27,29,,,,,,,22.5,23.5,30.7,29.5,,,,,,,,,,,,,,,,,,,,,,,
166,Right,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408,406,70,41,26,22,25,,,,,,,26.7,26.8,37.5,30.7,,,,,,,,,,,,,,,,,,,,,,,
167,Right,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430,424,78,43,34,24,29,,,,,,,24.2,24.3,32.1,29.4,,,,,,,,,,,,,,,,,,,,,,,
168,Right,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465,462,77,46,26,27,30,,,,,,,23.7,23.5,31,25.6,,,,,,,,,,,,,,,,,,,,,,,
169,Right,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,420,72,39,28,27,29,,,,,,,22.5,23.5,30.7,29.5,,,,,,,,,,,,,,,,,,,,,,,
170,Right,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410,406,70,41,26,22,25,,,,,,,26.7,26.8,37.5,30.7,,,,,,,,,,,,,,,,,,,,,,,
171,Right,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555,424,78,43,34,24,29,,,,,,,24.2,24.3,32.1,29.4,,,,,,,,,,,,,,,,,,,,,,,
172,Right,Femur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,462,77,46,26,27,30,,,,,,,23.7,23.5,31,25.6,,,,,,,,,,,,,,,,,,,,,,,
173,Left,Tibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,82,53,36,24,,,,,34.1,24.8,27.3,,,,,,,,,
174,Left,Tibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,81,50,42,24,,,,,35,26.8,30.8,,,,,,,,,
175,Left,Tibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,73,49,33,22,,,,,35.4,23,30,,,,,,,,,
176,Left,Tibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410,79,50,40,25,,,,,33.2,25.5,34.3,,,,,,,,,
177,Left,Tibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,69,46,34,21,,,,,32.2,22.3,33.3,,,,,,,,,
178,Left,Tibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386,76,50,37,24,,,,,33.4,25.6,31,,,,,,,,,
179,Left,Tibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425,79,52,38,33,,,,,36.1,28.2,35.5,,,,,,,,,
180,Left,Tibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,76,50,34,23,,,,,38.6,24.5,40.7,,,,,,,,,
181,Left,Tibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396,75,51,37,27,,,,,39,25.8,35,,,,,,,,,
182,Left,Tibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384,84,57,39,27,,,,,35.3,23.8,35.3,,,,,,,,,
183,Left,Tibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389,79,50,41,24,,,,,34.9,24.6,31,,,,,,,,,
184,Left,Tibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344,75,50,32,25,,,,,35.8,29.6,33.2,,,,,,,,,
185,Left,Tibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,75,49,39,26,,,,,35.1,28,36.9,,,,,,,,,
186,Left,Tibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387,81,56,33,21,,,,,38.7,27.7,32.1,,,,,,,,,
187,Left,Tibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380,83,55,38,24,,,,,38.5,27.3,35.8,,,,,,,,,
188,Left,Tibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378,72,49,34,20,,,,,42.1,28,34.9,,,,,,,,,
189,Left,Tibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,67,45,30,21,,,,,37.7,25.7,37.2,,,,,,,,,
